Análisis de Ley de Benford - Distribución del Primer Dígito

Perfil analizado:,@jofre_a21
Seguidores del perfil:,153
Seguidores analizados:,13
Números válidos analizados:,13

Dígito,Cantidad,Frecuencia Observada (%),Frecuencia Esperada (%),Desviación (%)
1,2,15.38,30.10,14.72
2,3,23.08,17.61,5.47
3,1,7.69,12.49,4.80
4,1,7.69,9.69,2.00
5,3,23.08,7.92,15.16
6,1,7.69,6.69,1.00
7,0,0.00,5.80,5.80
8,1,7.69,5.12,2.58
9,1,7.69,4.58,3.12

Desviación Promedio:,6.07%
Chi-cuadrado:,6.4404
Conclusión:,PROBABLEMENTE REAL
