Análisis de Ley de Benford - Distribución del Primer Dígito

Perfil analizado:,@mtc_castu
Seguidores del perfil:,202
Seguidores analizados:,77
Números válidos analizados:,40

Dígito,Cantidad,Frecuencia Observada (%),Frecuencia Esperada (%),Desviación (%)
1,12,30.00,30.10,0.10
2,9,22.50,17.61,4.89
3,2,5.00,12.49,7.49
4,5,12.50,9.69,2.81
5,9,22.50,7.92,14.58
6,1,2.50,6.69,4.19
7,2,5.00,5.80,0.80
8,0,0.00,5.12,5.12
9,0,0.00,4.58,4.58

Desviación Promedio:,4.95%
Chi-cuadrado:,18.3804
Conclusión:,REAL
